time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
174.496,13.242272723286693,0.0,7.181630710963757,8.12508764100005,1052.60217896,669.320766636,979.476390189,672.029129183,1072.91489806,582.314619813,949.345856853,582.653165132,969.320030637,577.913530674,968.304394682,585.02298236,1056.32617746,578.590621311,1056.32617746,586.715708952,1042.78436473,675.753127685,998.096382699,676.430218322,1019.42473776,680.492762142,977.10657296,580.283347903,963.903305543,581.298983858,1036.01345836,609.059699965,993.69529356,609.059699965,1065.80544637,565.048808576,964.58039618,564.371717939,1081.37853102,624.971329929,955.101127265,624.63278461,1016.71637521,670.67494791,1016.71637521,670.67494791
174.544,13.781003767259309,0.0,6.903300365828473,8.077303931836887,1053.56145998,669.40481004,979.462353421,671.43608195,1073.85725182,582.144754228,949.052520198,582.508690445,969.53451196,577.853692318,968.882812222,584.726162281,1056.35445886,578.471537524,1056.57451331,586.545843367,1043.00730968,675.659434797,997.718409714,676.387307231,1019.76617357,679.764296782,977.684990499,580.29121861,963.93158694,581.162972805,1036.27872148,608.475116365,993.537375032,609.025252507,1065.9945368,564.574252204,964.769486603,563.626325313,1081.63533051,624.58987352,955.239435891,625.10615513,1017.40481998,670.75052768,1017.40481998,670.75052768
174.944,14.32204755921171,0.0,6.641725080163179,8.035585477247782,1054.520741,669.488853444,979.448316653,670.843034717,1074.79960557,581.974888643,948.759183542,582.364215759,969.748993282,577.793853961,969.461229761,584.429342202,1056.38274025,578.352453737,1056.82284917,586.375977782,1043.23025464,675.565741909,997.340436729,676.344396141,1020.10760939,679.035831422,978.263408039,580.299089317,963.959868337,581.026961752,1036.5439846,607.890532765,993.379456504,608.99080505,1066.18362722,564.099695833,964.958577027,562.880932687,1081.89212999,624.208417111,955.377744517,625.57952565,1018.09326475,670.826107451,1018.09326475,670.826107451
175.076,14.865151568559309,0.0,6.398959909849377,8.000027164212275,1055.48002203,669.572896848,979.434279886,670.249987484,1075.74195933,581.805023058,948.465846887,582.219741073,969.963474604,577.734015605,970.039647301,584.132522122,1056.41102165,578.233369949,1057.07118502,586.206112197,1043.45319959,675.47204902,996.962463745,676.30148505,1020.44904521,678.307366062,978.841825578,580.306960025,963.988149735,580.890950699,1036.80924772,607.305949165,993.221537976,608.956357592,1066.37271764,563.625139462,965.14766745,562.135540061,1082.14892948,623.826960702,955.516053142,626.05289617,1018.78170951,670.901687222,1018.78170951,670.901687222
175.144,15.410097973608769,0.0,6.1772229727914105,7.97071143622792,1056.43930305,669.656940251,979.420243118,669.656940251,1076.68431309,581.635157473,948.172510232,582.075266387,970.177955926,577.674177248,970.61806484,583.835702043,1056.43930305,578.114286162,1057.31952088,586.036246612,1043.67614455,675.378356132,996.58449076,676.25857396,1020.79048102,677.578900702,979.420243118,580.314830732,964.016431132,580.754939646,1037.07451084,606.721365565,993.063619448,608.921910135,1066.56180807,563.15058309,965.336757873,561.390147435,1082.40572897,623.445504293,955.654361768,626.52626669,1019.47015428,670.977266993,1019.47015428,670.977266993
175.21,14.854624906455454,2.513553884658531,5.622005510862335,7.184668695743332,1056.61445023,664.094263358,978.681317943,664.906772122,1076.60216583,577.697498108,948.334115604,578.117294303,970.271852235,573.783914227,970.691648429,579.3902247,1056.47903211,574.271419486,1057.18320637,581.42149661,1044.71119684,671.041213291,995.527332986,672.42247819,1020.6994795,675.135007448,979.208046381,576.23478201,964.360931105,576.707062745,1037.04420709,602.099043366,993.371861018,604.130315276,1066.05076997,559.252747872,965.367392282,557.167308711,1083.16866294,618.728389405,954.944363187,620.672160371,1018.75755151,665.243474472,1019.01797098,667.743501438
175.277,14.299319395472772,5.027107771347845,5.066868793865132,6.400021731301228,1056.78959742,658.531586464,977.942392768,660.156603992,1076.52001857,573.759838742,948.495720976,574.159322218,970.365748543,569.893651206,970.765232019,574.944747357,1056.51876116,570.42855281,1057.04689186,576.806746608,1045.74624913,666.70407045,994.470175212,668.58638242,1020.60847799,672.691114195,978.995849644,572.154733288,964.705431078,572.659185845,1037.01390334,597.476721166,993.680102587,599.338720418,1065.53973187,555.354912654,965.39802669,552.944469987,1083.93159692,614.011274516,954.234364606,614.818054052,1018.04494873,659.50968195,1018.56578768,664.509735883
175.345,13.744201750865813,7.5406616560063755,4.511842625086305,5.617355468151244,1056.9647446,652.96890957,977.203467594,655.406435863,1076.43787132,569.822179377,948.657326348,570.201350133,970.459644852,566.003388186,970.838815608,570.499270014,1056.55849022,566.585686133,1056.91057735,572.191996605,1046.78130143,662.366927608,993.413017438,664.75028665,1020.51747647,670.247220942,978.783652908,568.074684566,965.049931051,568.611308944,1036.98359959,592.854398967,993.988344156,594.547125559,1065.02869376,551.457077436,965.428661098,548.721631263,1084.69453089,609.294159627,953.524366026,608.963947732,1017.33234596,653.775889429,1018.11360438,661.275970328
175.477,13.189295691607917,10.05421554269569,3.9569735248545514,4.8376313589399995,1057.13989179,647.406232676,976.464542419,650.656267733,1076.35572406,565.884520011,948.81893172,566.243378049,970.55354116,562.113125165,970.912399198,566.05379267,1056.59821928,562.742819457,1056.77426284,567.577246603,1047.81635372,658.029784767,992.355859664,660.91419088,1020.42647495,667.803327689,978.571456171,563.994635844,965.394431024,564.563432043,1036.95329584,588.232076768,994.296585725,589.7555307,1064.51765566,547.559242218,965.459295506,544.49879254,1085.45746486,604.577044739,952.814367445,603.109841413,1016.61974318,648.042096907,1017.66142108,658.042204773
175.544,12.63462909704974,12.56776942938489,3.4023383409979124,4.062543820999963,1057.31503897,641.843555783,975.725617244,645.906099603,1076.2735768,561.946860646,948.980537092,562.285405964,970.647437469,558.222862144,970.985982787,561.608315327,1056.63794834,558.89995278,1056.63794834,562.962496601,1048.85140601,653.692641926,991.29870189,657.07809511,1020.33547343,665.359434436,978.359259434,559.914587122,965.738930997,560.515555143,1036.92299209,583.609754568,994.604827295,584.963935842,1064.00661756,543.661407,965.489929914,540.275953816,1086.22039884,599.85992985,952.104368865,597.255735094,1015.9071404,642.308304385,1017.20923778,654.808439218
